number,company,symbol,ytd_return
270,EBAY INC,EBAY,0.41%
271,ZEBRA TECHNOLOGIES CORP CL A,ZBRA,0.40%
272,PULTEGROUP INC,PHM,0.39%
273,NRG ENERGY INC,NRG,0.33%
274,ALTRIA GROUP INC,MO,0.32%
275,JOHNSON CONTROLS INTERNATION,JCI,0.28%
276,TE CONNECTIVITY LTD,TEL,0.17%
277,EQUITY RESIDENTIAL,EQR,0.11%
278,PROLOGIS INC,PLD,0.09%
279,BANK OF AMERICA CORP,BAC,0.09%
280,WATERS CORP,WAT,0.09%
281,ENTERGY CORP,ETR,0.07%
282,M + T BANK CORP,MTB,0.03%
283,PUBLIC SERVICE ENTERPRISE GP,PEG,-0.02%
284,IDEXX LABORATORIES INC,IDXX,-0.05%
285,TYSON FOODS INC CL A,TSN,-0.15%
286,COPART INC,CPRT,-0.22%
287,JM SMUCKER CO/THE,SJM,-0.24%
288,FORD MOTOR CO,F,-0.41%
289,WILLIAMS COS INC,WMB,-0.43%
290,VERISK ANALYTICS INC,VRSK,-0.50%
291,SEAGATE TECHNOLOGY HOLDINGS,STX,-0.55%
292,CMS ENERGY CORP,CMS,-0.59%
293,PEPSICO INC,PEP,-0.59%
294,QORVO INC,QRVO,-0.64%
295,INTERPUBLIC GROUP OF COS INC,IPG,-0.64%
296,FOX CORP   CLASS B,FOX,-0.69%
297,PPL CORP,PPL,-0.77%
298,BRISTOL MYERS SQUIBB CO,BMY,-0.78%
299,BLACKROCK INC,BLK,-0.78%
300,MATCH GROUP INC,MTCH,-0.79%
301,HENRY SCHEIN INC,HSIC,-0.82%
302,UNITEDHEALTH GROUP INC,UNH,-0.85%
303,CONAGRA BRANDS INC,CAG,-0.87%
304,KIMBERLY CLARK CORP,KMB,-0.87%
305,MCDONALD S CORP,MCD,-0.88%
306,NORDSON CORP,NDSN,-0.94%
307,KEYCORP,KEY,-0.97%
308,DTE ENERGY COMPANY,DTE,-1.00%
309,CENTERPOINT ENERGY INC,CNP,-1.02%
310,STARBUCKS CORP,SBUX,-1.03%
311,ATMOS ENERGY CORP,ATO,-1.04%
312,NISOURCE INC,NI,-1.13%
313,KINDER MORGAN INC,KMI,-1.25%
314,AMEREN CORPORATION,AEE,-1.30%
315,MCCORMICK + CO NON VTG SHRS,MKC,-1.30%
316,CAMPBELL SOUP CO,CPB,-1.46%
317,ILLINOIS TOOL WORKS,ITW,-1.49%
318,DOMINION ENERGY INC,D,-1.51%
319,METTLER TOLEDO INTERNATIONAL,MTD,-1.57%
320,AMGEN INC,AMGN,-1.58%
